model,strategy,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,spw
lightgbm,smote_enn,162.5,0.7675545084422101,0.9692176993383932,0.999978,0.9487179487179488,0.7115384615384616,0.8131868131868132,0.8214346011341345,37,2,15,42668,
catboost,optuna,6.8,0.7659910465109,0.9761605163058176,0.166433,0.8666666666666667,0.75,0.8041237113402062,0.8060085092968481,39,6,13,42664,4.1
mlp,smote,29.6,0.7658865314658732,0.9607209172360331,0.999761,0.9,0.6923076923076923,0.782608695652174,0.7891343787278728,36,4,16,42666,
catboost,class_weight,26.7,0.7651606580242643,0.9620526942005734,0.734028,0.8666666666666667,0.75,0.8041237113402062,0.8060085092968481,39,6,13,42664,22.8
random_forest,gan,133.8,0.762029758519354,0.9871160155757062,0.868667,0.9473684210526316,0.6923076923076923,0.8,0.8096706420078524,36,2,16,42668,
catboost,class_weight_fixed,5.0,0.7620041011314336,0.9442546555858016,0.56303,0.8444444444444444,0.7307692307692307,0.7835051546391752,0.7853125584571649,38,7,14,42663,518.2
xgboost,class_weight_fixed,2.0,0.7609920437031575,0.980575886499252,0.922028,0.902439024390244,0.7115384615384616,0.7956989247311828,0.8011151257522823,37,4,15,42666,518.2
lstm,smote_enn,32.2,0.7584588050846481,0.9613649189804172,0.999776,0.9142857142857144,0.6153846153846154,0.735632183908046,0.7498564748851451,32,3,20,42660,
lightgbm,rus,0.7,0.7559439059499772,0.975789151087956,0.999999,0.945945945945946,0.6730769230769231,0.7865168539325843,0.7977355474757941,35,2,17,42668,
graphsage,class_weight,1.8,0.7557536193384715,0.9226221809594202,0.738112,0.902439024390244,0.7115384615384616,0.7956989247311828,0.8011151257522823,37,4,15,42666,518.2
catboost,smote_enn,148.9,0.7545536204020399,0.9487259108362928,0.997266,0.9736842105263158,0.7115384615384616,0.8222222222222222,0.8321904264162567,37,1,15,42669,
lightgbm,optuna,2.4,0.7533574002855378,0.9769803140379658,0.623481,0.8666666666666667,0.75,0.8041237113402062,0.8060085092968481,39,6,13,42664,14.9
catboost,raw,34.5,0.7522070990698858,0.9597415766797064,0.27315,0.902439024390244,0.7115384615384616,0.7956989247311828,0.8011151257522823,37,4,15,42666,
graphsage,optuna,27.0,0.7513184888155201,0.9766914243478576,0.999974,0.8863636363636364,0.75,0.8125,0.8151321643758136,39,5,13,42665,172.1
lstm,gan,18.6,0.750074028387969,0.9526794520202156,0.791145,0.9714285714285714,0.6538461538461539,0.7816091954022989,0.7967849898584342,34,1,18,42662,518.2
random_forest,raw,47.9,0.7490655899059545,0.9404918786392892,0.416139,0.902439024390244,0.7115384615384616,0.7956989247311828,0.8011151257522823,37,4,15,42666,
mlp,class_weight,11.2,0.7469657768024006,0.9640388671558112,0.993983,0.8222222222222222,0.7115384615384616,0.7628865979381443,0.7646166076174817,37,8,15,42662,518.2
linear_svc,raw,1.4,0.7468870244397848,0.9544721566223792,0.355967,0.8333333333333334,0.6730769230769231,0.7446808510638298,0.7486606025857945,35,7,17,42663,
gat,class_weight,775.0,0.7448434343128484,0.9664567972454076,0.999994,0.9,0.6923076923076923,0.782608695652174,0.7891343787278728,36,4,16,42666,518.2
catboost,smote,9.1,0.7430318527802274,0.954847578013737,0.941814,0.8372093023255814,0.6923076923076923,0.7578947368421053,0.7610582220106498,36,7,16,42663,
logreg,smote_enn,106.3,0.7378892950455207,0.9747687981107244,1.0,0.9705882352941176,0.6346153846153846,0.7674418604651163,0.7846305049879378,33,1,19,42669,
logreg,smote,2.7,0.7287131976567189,0.9740267437039174,1.0,0.9705882352941176,0.6346153846153846,0.7674418604651163,0.7846305049879378,33,1,19,42669,
xgboost,rus,0.8,0.7231073625755317,0.9763101440392276,0.998602,0.74,0.7115384615384616,0.7254901960784313,0.7253020050442873,37,13,15,42657,
logreg,class_weight,0.6,0.7203835163670721,0.9767542950370464,0.999999,0.9428571428571428,0.6346153846153846,0.7586206896551724,0.77332076700945,33,2,19,42668,
mlp,gan,37.4,0.7192307373800789,0.9106524129725442,0.999955,0.9166666666666666,0.6346153846153846,0.75,0.7624853298705692,33,3,19,42667,
