model,strategy,spw,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,split
xgboost,class_weight,64.0,13.6,0.8055163145248684,0.9817854108437194,0.796886,0.9193548387096774,0.76,0.8321167883211679,0.835696403053771,57,5,18,56882,sang
xgboost,smote_enn,,122.8,0.8101650609591425,0.9697379014537592,0.999151,0.9464285714285714,0.7066666666666667,0.8091603053435115,0.8176101969424081,53,3,22,56884,sang
random_forest,smote_enn,,223.2,0.8223976239724884,0.9742640673616114,0.514278,0.8285714285714286,0.7733333333333333,0.8,0.8002225341071159,58,12,17,56875,sang
