model,strategy,spw,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,split
xgboost,class_weight,577.4,10.3,0.8291041262009571,0.9696834839732178,0.994921,0.9857142857142858,0.7040816326530612,0.8214285714285714,0.8328547898644527,69,1,29,56863,sang_random
xgboost,smote_enn,,83.8,0.8020346548095605,0.9746910458753,0.945509,0.8902439024390244,0.7448979591836735,0.8111111111111111,0.8140470722034927,73,9,25,56855,sang_random
random_forest,smote_enn,,147.8,0.7906739658176772,0.9811654983462152,0.643151,0.8588235294117647,0.7448979591836735,0.7978142076502732,0.7995169376407384,73,12,25,56852,sang_random
